Reference,Description,Voices,Notes per voice,Tempo (MM),Tempo (Hz),Time,Frequency sequence (hz),Note dur (s),Gain,Repeat,Notes,,,Ratio to crotchet,Draft,Rounded
3.002,36 tone row 1,36,1,80,1.33,27.00,"7916.93, 7167.1, 8122.69, 8480.57, 7069.77, 8784.19, 6500.21, 7565.62, 8569.27, 8816.03, 8989.76, 7118.5, 7338.94, 8033.38, 6610.82, 7545.8, 7938.18, 7392.67, 7010.82, 8247.94, 7185.81, 8392.22, 8798.24, 8883.38, 8107.95, 7645.63, 6852.28, 8203.63, 7652.48, 7163.02, 6750.96, 8518.62, 6640.53, 8503.48, 8307.59, 6656.93",0.56,0.2,0,f: 6500-9000 hz,,,0.75,0.5625,56
3.0021,36 tone row 2,36,1,127,2.12,17.01,"7916.93, 7167.1, 8122.69, 8480.57, 7069.77, 8784.19, 6500.21, 7565.62, 8569.27, 8816.03, 8989.76, 7118.5, 7338.94, 8033.38, 6610.82, 7545.8, 7938.18, 7392.67, 7010.82, 8247.94, 7185.81, 8392.22, 8798.24, 8883.38, 8107.95, 7645.63, 6852.28, 8203.63, 7652.48, 7163.02, 6750.96, 8518.62, 6640.53, 8503.48, 8307.59, 6656.93",0.38,0.3,0,,,,0.8125,0.3838582677,38
3.0022,36 tone row 3,36,1,216,3.60,10.00,"7916.93, 7167.1, 8122.69, 8480.57, 7069.77, 8784.19, 6500.21, 7565.62, 8569.27, 8816.03, 8989.76, 7118.5, 7338.94, 8033.38, 6610.82, 7545.8, 7938.18, 7392.67, 7010.82, 8247.94, 7185.81, 8392.22, 8798.24, 8883.38, 8107.95, 7645.63, 6852.28, 8203.63, 7652.48, 7163.02, 6750.96, 8518.62, 6640.53, 8503.48, 8307.59, 6656.93",0.24,0.4,0,,,,0.875,0.2430555556,24
3.0023,36 tone row 4,36,1,306,5.10,7.06,"7916.93, 7167.1, 8122.69, 8480.57, 7069.77, 8784.19, 6500.21, 7565.62, 8569.27, 8816.03, 8989.76, 7118.5, 7338.94, 8033.38, 6610.82, 7545.8, 7938.18, 7392.67, 7010.82, 8247.94, 7185.81, 8392.22, 8798.24, 8883.38, 8107.95, 7645.63, 6852.28, 8203.63, 7652.48, 7163.02, 6750.96, 8518.62, 6640.53, 8503.48, 8307.59, 6656.93",0.18,0.45,0,,,,0.9375,0.1838235294,18
3.0024,36 tone row 5,36,1,720,12.00,3.00,"7916.93, 7167.1, 8122.69, 8480.57, 7069.77, 8784.19, 6500.21, 7565.62, 8569.27, 8816.03, 8989.76, 7118.5, 7338.94, 8033.38, 6610.82, 7545.8, 7938.18, 7392.67, 7010.82, 8247.94, 7185.81, 8392.22, 8798.24, 8883.38, 8107.95, 7645.63, 6852.28, 8203.63, 7652.48, 7163.02, 6750.96, 8518.62, 6640.53, 8503.48, 8307.59, 6656.93",0.08,0.5,4,trigger to next,,,1,0.08333333333,8
3.003,24 tone row 1,24,1,75,1.25,19.20,"8718.46, 8524.79, 8569.62, 6731.46, 8133.28, 6910.45, 8512.71, 8607.3, 8978.89, 8497.85, 7558.45, 8695.73, 8650.97, 6666.64, 8454.49, 6566.09, 8104.31, 7671.73, 6982.19, 6875.12, 8627.85, 7321.36, 8898.71, 8762.94",0.6,0.2,0,,,,0.75,0.6,60
3.0031,24 tone row 2,24,1,120,2.00,12.00,"8718.46, 8524.79, 8569.62, 6731.46, 8133.28, 6910.45, 8512.71, 8607.3, 8978.89, 8497.85, 7558.45, 8695.73, 8650.97, 6666.64, 8454.49, 6566.09, 8104.31, 7671.73, 6982.19, 6875.12, 8627.85, 7321.36, 8898.71, 8762.94",0.41,0.3,0,,,,0.8125,0.40625,41
3.0032,24 tone row 3,24,1,216,3.60,6.67,"8718.46, 8524.79, 8569.62, 6731.46, 8133.28, 6910.45, 8512.71, 8607.3, 8978.89, 8497.85, 7558.45, 8695.73, 8650.97, 6666.64, 8454.49, 6566.09, 8104.31, 7671.73, 6982.19, 6875.12, 8627.85, 7321.36, 8898.71, 8762.94",0.24,0.4,0,,,,0.875,0.2430555556,24
3.0033,24 tone row 4,24,1,326,5.43,4.42,"8718.46, 8524.79, 8569.62, 6731.46, 8133.28, 6910.45, 8512.71, 8607.3, 8978.89, 8497.85, 7558.45, 8695.73, 8650.97, 6666.64, 8454.49, 6566.09, 8104.31, 7671.73, 6982.19, 6875.12, 8627.85, 7321.36, 8898.71, 8762.94",0.17,0.5,0,,,,0.9375,0.1725460123,17
3.0034,24 tone row 5,24,1,760,12.67,1.89,"8718.46, 8524.79, 8569.62, 6731.46, 8133.28, 6910.45, 8512.71, 8607.3, 8978.89, 8497.85, 7558.45, 8695.73, 8650.97, 6666.64, 8454.49, 6566.09, 8104.31, 7671.73, 6982.19, 6875.12, 8627.85, 7321.36, 8898.71, 8762.94",0.08,0.55,4,trigger to next,,,1,0.07894736842,8
